channel x_pos y_pos z_pos
1284 -110 50 1660
1285 -110 50 1650
1286 -110 50 1640
1287 -110 50 1630
1288 -110 50 1620
1289 -110 50 1610
1290 -110 50 1600
1291 -110 50 1590
1292 -110 50 1580
1293 -110 50 1570
1294 -110 50 1560
1295 -110 50 1550
1296 -110 50 1540
1297 -110 50 1530
1298 -110 50 1520
1299 -110 50 1510
1300 -110 50 1500
1301 -110 50 1490
1302 -110 50 1480
1303 -110 50 1470
1304 -110 50 1460
1305 -110 50 1450
1306 -110 50 1440
1307 -110 50 1430
1308 -110 50 1420
1309 -110 50 1410
1310 -110 50 1400
1311 -110 50 1390
1312 -110 50 1380
1313 -110 50 1370
1314 -110 50 1360
1315 -110 50 1350
1316 -110 50 1340
1317 -110 50 1330
1318 -110 50 1320
1319 -110 50 1310
1320 -110 50 1300
1321 -110 50 1290
1322 -110 50 1280
1323 -110 50 1270
1324 -110 50 1260
1325 -110 50 1250
1326 -110 50 1240
1327 -110 50 1230
1328 -110 50 1220
1329 -110 50 1210
1330 -110 50 1200
1331 -110 50 1190
1332 -110 50 1180
1333 -110 50 1170
1334 -110 50 1160
1335 -110 50 1150
1336 -110 50 1140
1337 -110 50 1130
1338 -110 50 1120
1339 -110 50 1110
1340 -110 50 1100
1341 -110 50 1090
1342 -110 50 1080
1343 -110 50 1070
1344 -110 50 1060
1345 -110 50 1050
1346 -110 50 1040
1347 -110 50 1030
1348 -110 50 1020
1349 -110 50 1010
1350 -110 50 1000
1351 -110 50 990
1352 -110 50 980
1353 -110 50 970
1354 -110 50 960
1355 -110 50 950
1356 -110 50 940
1357 -110 50 930
1358 -110 50 920
1359 -110 50 910
1360 -110 50 900
1361 -110 50 890
1362 -110 50 880
1363 -110 50 870
1364 -110 50 860
1365 -110 50 850
1366 -110 50 840
1367 -110 50 830
1368 -110 50 820
1369 -110 50 810
1370 -110 50 800
1371 -110 50 790
1372 -110 50 780
1373 -110 50 770
1374 -110 50 760
1375 -110 50 750
1376 -110 50 740
1377 -110 50 730
1378 -110 50 720
1379 -110 50 710
1380 -110 50 700
1381 -110 50 690
1382 -110 50 680
1383 -110 50 670
1384 -110 50 660
1385 -110 50 650
1386 -110 50 640
1387 -110 50 630
1388 -110 50 620
1389 -110 50 610
1390 -110 50 600
1391 -110 50 590
1392 -110 50 580
1393 -110 50 570
1394 -110 50 560
1395 -110 50 550
1396 -110 50 540
1397 -110 50 530
1398 -110 50 520
1399 -110 50 510
1400 -110 50 500
